vendor,current_price,old_price
Walmart,2.77,3.67
Walmart,2.77,3.67
Walmart,1.44,4.87
Walmart,1.44,4.87
Walmart,1.44,4.87
Walmart,1.44,4.87
Walmart,1.44,4.87
Walmart,1.44,4.87
Walmart,1.44,2.97
Walmart,1.44,2.97
Walmart,1.44,2.97
Walmart,1.44,2.97
Walmart,1.44,2.97
Walmart,1.44,2.97
Walmart,4.97,5.97
Walmart,4.97,5.97
Walmart,4.97,5.97
Walmart,4.97,5.97
Walmart,4.97,5.97
Walmart,4.97,5.97
Walmart,4.97,5.97
Walmart,4.97,5.97
Walmart,4.97,5.97
Walmart,4.97,5.97
Walmart,4.97,5.97
Walmart,4.97,5.97
Walmart,4.97,5.97
Walmart,4.97,5.97
Walmart,4.97,5.97
Walmart,4.97,5.97
Walmart,4.97,5.97
Walmart,4.97,5.97
Walmart,4.97,5.97
Walmart,4.97,5.97
Walmart,4.97,5.97
Walmart,4.97,5.97
Walmart,4.97,5.97
Walmart,4.97,5.97
Walmart,4.97,5.97
Walmart,4.47,5.77
Walmart,4.47,5.77
Walmart,4.47,5.77
Walmart,4.47,5.77
Walmart,4.47,5.77
Walmart,4.47,5.77
Walmart,1.97,4.97
Walmart,1.97,4.97
Walmart,1.97,4.97
Walmart,1.97,4.97
Walmart,1.97,4.97
Walmart,1.97,4.97
Walmart,0.22,67
Walmart,0.22,67
Walmart,0.22,67
Walmart,0.22,67
Walmart,0.22,67
Walmart,2.77,3.67
Walmart,2.77,3.67
Walmart,2.77,3.67
Walmart,14.97,17.97
Walmart,14.97,17.97
Walmart,14.97,17.97
Walmart,14.97,17.97
Walmart,14.97,17.97
Walmart,14.97,17.97
Walmart,14.97,17.97
Walmart,14.97,17.97
Walmart,14.97,17.97
Walmart,14.97,17.97
Walmart,14.97,17.97
Walmart,14.97,17.97
Walmart,14.97,17.97
Walmart,14.97,17.97
Walmart,14.97,17.97
Walmart,14.97,17.97
Walmart,14.97,17.97
Walmart,14.97,17.97
Walmart,4.47,6.47
Walmart,4.47,6.47
Walmart,4.47,6.47
Walmart,4.47,6.47
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,2.97,4.97
Walmart,2.97,4.97
Walmart,2.97,4.97
Walmart,2.97,4.97
Walmart,2.97,4.97
Walmart,2.97,4.97
Walmart,2.97,4.97
Walmart,2.97,4.97
Walmart,2.97,4.97
Walmart,2.97,4.97
Walmart,2.97,4.97
Walmart,2.97,4.97
Walmart,2.97,4.97
Walmart,2.97,4.97
Walmart,2.97,4.97
Walmart,2.97,4.97
Walmart,2.97,4.97
Walmart,2.97,4.97
Walmart,2.97,4.97
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.47,4.88
Walmart,3.88,4.44
Walmart,3.88,4.44
Walmart,3.88,4.44
Walmart,3.88,4.44
Walmart,3.88,4.44
Walmart,3.88,4.44
Walmart,2.97,4.28
Walmart,2.97,4.28
Walmart,2.97,4.28
Walmart,2.97,4.28
Walmart,2.97,4.28
Walmart,2.97,4.28
Walmart,2.97,4.28
Walmart,2.97,4.28
Walmart,2.97,4.28
Walmart,2.97,4.28
Walmart,2.97,4.28
Walmart,2.97,4.28
Walmart,2.97,4.28
Walmart,2.97,4.28
Walmart,2.97,4.28
Walmart,2.97,4.28
Walmart,2.97,4.28
Walmart,2.97,4.28
Walmart,2.97,4.28
Walmart,2.97,4.28
Walmart,2.97,4.28
Walmart,2.97,4.28
Walmart,2.97,4.28
Walmart,2.97,4.28
Walmart,2.97,4.28
Walmart,2.97,4.28
Walmart,2.97,4.28
Walmart,2.97,4.28
Walmart,2.97,4.28
Walmart,2.97,4.28
Walmart,2.97,4.28
Walmart,2.97,4.28
Walmart,2.97,4.28
Walmart,2.97,4.28
Walmart,2.97,4.28
Walmart,2.97,4.28
Walmart,2.97,4.28
Walmart,2.97,4.28
Walmart,2.27,2.98
Walmart,2.27,2.98
Walmart,2.27,2.98
Walmart,2.27,2.98
